stop_id,latitude,longitude
100900016,37.6070621164,126.9622629001
100900015,37.5687871134,126.9640686009
100900013,37.5812647965,127.0127581151
100900045,37.5875948053,126.9859476734
100900011,37.5830805530,126.9878088426
100900009,37.5717928476,126.9976709493
100900007,37.5818136620,126.9812510491
100900005,37.5794046150,126.9696088803
100900046,37.5885110529,126.9952543092
100900003,37.5872532276,126.9998516643
100900072,37.6079803769,126.9624312007
100900071,37.5700818569,126.9627388724
100900070,37.5821062067,127.0145562810
100900069,37.5862106518,126.9852900569
100900068,37.5830921770,126.9869652990
100900067,37.6079283311,126.9577443332
100900066,37.5706890289,126.9946203403
100900174,37.5792551846,126.9795533717
100900065,37.5793687689,126.9711466491
100900064,37.5877370613,126.9965180510
100900063,37.5860376565,127.0006137149
100900062,37.6089539753,126.9637921715
100900061,37.5707022242,126.9621148375
100900060,37.5817743934,127.0161855253
100900059,37.5841056738,126.9850311776
100900058,37.5827909789,126.9849940760
100900182,37.6082046142,126.9567768927
100900057,37.5710875771,126.9920931881
100900056,37.5769501570,126.9793377561
100900054,37.6112770717,126.9641104660
100900186,37.5728784775,126.9597453483
100900053,37.5800189539,127.0170071400
100900052,37.5815997311,126.9849422317
100900217,37.5743837122,126.9911314256
100900051,37.5760892484,126.9906200153
100900050,37.6120100581,126.9654637010
100900049,37.5738699714,126.9606775165
100900206,37.5803534405,127.0156926979
100900048,37.5799729420,126.9849543284
100900097,37.6062686142,126.9579797248
100900096,37.5762373738,126.9975114970
100900095,37.6134825236,126.9657790521
100900094,37.5746692802,126.9618040443
100900093,37.5798735304,127.0149447983
100900092,37.5789480833,126.9851271782
100900091,37.6051519935,126.9574922002
100900090,37.5765095598,127.0020914666
100900089,37.6143102577,126.9676873462
100900088,37.5763372261,126.9619411637
100900086,37.5773871956,126.9858152185
100900184,37.6046102563,126.9569839726
100900085,37.5781188768,126.9995029662
100900083,37.6129345305,126.9685386165
100900082,37.5752728058,126.9628880463
100900207,37.5769032044,127.0153885503
100900081,37.5752189424,126.9866692660
100900080,37.6040255786,126.9573354115
100900079,37.6116055569,126.9690205751
100900187,37.5739763092,126.9634445669
100900078,37.5737563689,126.9874148722
100900077,37.6034020863,126.9575011241
100900076,37.5805553988,126.9974309648
100900075,37.5834729904,127.0017632862
100900074,37.6124059606,126.9699479367
100900073,37.5736670147,126.9641239308
100900205,37.5726943506,127.0142453819
100900121,37.5706970000,126.9874600000
100900120,37.6020037175,126.9578303612
100900198,37.5833533096,126.9992849459
100000416,37.5829712951,126.9737680820
100000417,37.5831276121,126.9796554436
100000418,37.5794135204,126.9795911351
100900119,37.6134217965,126.9706087294
100000421,37.5858955968,126.9969805237
100900218,37.5849563466,126.9966204422
100900219,37.5873281035,126.9939426439
100900220,37.5878630000,126.9923700000
100900221,37.5874203934,126.9936746328
100900118,37.5746935562,126.9645321424
100900117,37.5720494465,127.0117218002
100900116,37.5703976388,126.9850892600
100900115,37.6019890570,126.9571553655
100900177,37.5770722054,126.9724733176
100900199,37.5832668015,126.9988530070
100900114,37.6139004282,126.9718458037
100900113,37.5755600915,126.9653175119
100900192,37.5712161296,127.0049580380
100900112,37.6009238115,126.9567154180
100900179,37.5765879752,126.9796650539
100900111,37.5794930902,126.9710277184
100900110,37.5848860000,126.9966460000
100900109,37.6146097003,126.9742524976
100900108,37.5768126115,126.9653293849
100900107,37.5714192458,127.0020898456
100900106,37.5719470235,126.9832969670
100900105,37.5802605382,126.9800805410
100900104,37.5794684375,126.9697392663
100900103,37.6163963984,126.9757438761
100000360,37.5765581609,126.9974492169
100000329,37.5703374879,126.9755694982
100000330,37.5703700000,126.9801290000
100000333,37.5700824558,126.9864618183
100000334,37.5706348964,126.9932082199
100000335,37.5701024255,126.9909932186
100000336,37.5704692645,126.9962507486
100000338,37.5708647997,127.0032911936
100900102,37.5764842271,126.9671251598
100000343,37.5761780936,126.9715056448
100000344,37.5758191735,126.9716819740
100000345,37.5766137515,126.9852296020
100000346,37.5763185096,126.9855059829
100000347,37.5775204226,126.9889000774
100000348,37.5832827975,126.9992357955
100900101,37.5738011149,126.9877503526
100900180,37.6012424257,126.9557163281
100900100,37.5816451700,126.9813258198
100900099,37.5803350289,126.9687504797
100900191,37.5707724724,127.0000389920
100900098,37.6173560499,126.9771030504
100900145,37.5767787564,126.9676986337
100900143,37.5759841652,127.0025801998
100900144,37.5752716136,126.9869813803
100900142,37.6000210109,126.9569583018
100900141,37.5846846831,126.9822105151
100900140,37.5810265604,126.9668944502
100900139,37.6163049980,126.9783685436
100900138,37.5762206893,126.9689039095
100900137,37.5749766498,127.0054048740
100900189,37.5771728174,126.9861183272
100900135,37.5858776706,126.9818478910
100900134,37.6159439291,126.9798729651
100900133,37.5740986200,126.9658895166
100900131,37.5787910850,126.9853617134
100900129,37.5874185176,126.9817444742
100900128,37.5753200672,127.0022812884
100900127,37.6146490046,126.9794938432
100900126,37.5726178078,126.9616893251
100900125,37.5792417814,126.9866353642
100900215,37.5721819807,126.9613278115
100900181,37.5929353403,126.9637682263
100900124,37.6128643152,126.9816861503
100900123,37.5714943551,126.9623374590
100900122,37.5760372123,127.0157200961
100900168,37.5799426497,126.9851293823
100900167,37.5792554401,126.9879589184
100900166,37.5947643228,126.9637824182
100900165,37.6131060324,126.9792421489
100900164,37.5712260916,126.9646918774
100900163,37.5774150014,127.0155607478
100900162,37.5812807738,126.9851687446
100900161,37.5976847268,126.9629663842
100900160,37.6153822583,126.9784205906
100900159,37.5701413179,126.9656960774
100900157,37.5827432497,126.9852205387
100900156,37.5993880238,126.9600291533
100900200,37.5859196111,127.0010032298
100900155,37.6132637884,126.9781122953
100900154,37.5693816820,126.9666998924
100900210,37.5803228198,127.0155692785
100900153,37.5838633080,126.9852486243
100900152,37.5998544708,126.9574023475
100900151,37.5873892922,126.9999909413
100900149,37.5685315243,126.9683376852
100900148,37.5797846496,127.0171508787
100900147,37.5862656518,126.9855618026
100900201,37.5896275957,126.9993137839
100900173,37.5818978359,127.0162353711
100900172,37.5875308468,126.9861073451
100900171,37.5890742944,126.9971407875
100900203,37.5891522774,126.9897340010
100900170,37.6009049260,126.9568173576
100900169,37.5878406881,126.9965690016
100900002,37.6018640911,126.9579482257
100900004,37.5887246101,126.9952305162
100900006,37.6033399708,126.9576665157
100900008,37.5897680031,126.9937685575
100900010,37.6040715802,126.9574633677
100900012,37.5902545716,126.9934084203
100900014,37.6052835831,126.9575782035
100900018,37.6061334517,126.9579809335
100900019,37.6066987064,126.9587564660
100900022,37.6049541749,126.9608727063
100900027,37.5835080381,127.0015538872
100900028,37.5786973612,127.0019926794
100900030,37.5774082997,126.9978009620
100900033,37.5736413355,127.0022087811
100900204,37.5884638684,126.9900035953
100900038,37.5775727323,126.9978632209
100900043,37.5769483437,127.0020084833
100900042,37.5790872846,126.9981631637
100900211,37.5716400000,126.9831900000
100900213,37.5736021088,126.9831364101
100000399,37.5706369793,127.0092820998
100000407,37.5818961200,127.0021204164
100000408,37.5791596347,126.9964163097
100000409,37.5775301708,126.9901776043
100000410,37.5758950223,126.9837977873
100000411,37.5793391810,126.9795487018
100000412,37.5731388499,126.9769120216
100000401,37.5791187605,126.9713315727
100000402,37.5731558567,126.9770139456
101000313,37.5693799579,126.9828944171
100000403,37.5701155367,126.9888006413
100000404,37.5703736241,126.9934997231
100000405,37.5707521431,126.9996789008
100000406,37.5734766013,127.0180439092
105000553,37.5733400255,127.0231780999
100000400,37.5826848140,126.9737600308
100000422,37.5699020000,126.9719560000
101000001,37.5649848069,126.9875299251
101000002,37.5643504711,126.9878515151
101000003,37.5551460158,126.9722570849
101000004,37.5554029828,126.9725924801
101000005,37.5553889890,126.9727238221
101000006,37.5554794133,126.9728547738
101000007,37.5554141603,126.9729402621
101000008,37.5586388574,126.9737783904
101000303,37.5661382638,126.9806320857
101000009,37.5517870640,126.9626582054
101000010,37.5544459527,126.9662339013
101000011,37.5558478973,126.9689026242
101000012,37.5562376440,126.9691514463
101000013,37.5558550000,126.9692930000
101000014,37.5583836266,126.9691354395
101000015,37.5598390000,126.9648790000
101000016,37.5602111497,126.9678680149
101000017,37.5606234736,126.9681135141
101000018,37.5630494858,126.9691267228
101000300,37.5622736605,127.0066750078
101000020,37.5649062803,126.9677868059
101000021,37.5598696316,126.9731140800
101000022,37.5584010617,126.9733579400
101000023,37.5587713091,126.9737375955
101000025,37.5534055956,126.9759937564
101000026,37.5587633765,126.9743627450
101000027,37.5584195299,126.9740436876
101000028,37.5580006528,126.9736279452
101000029,37.5588723988,126.9759976615
101000030,37.5585581643,126.9756720863
101000031,37.5611910810,126.9800597585
101000032,37.5612730000,126.9785550000
101000033,37.5621971670,126.9764436700
101000034,37.5620517519,126.9759075283
101000035,37.5627642050,126.9761487140
101000036,37.5631901447,126.9746522037
101000037,37.5637220000,126.9753140000
101000038,37.5635248407,126.9749539314
101000333,37.5681069154,126.9828444051
101000039,37.5683632936,126.9773647051
101000337,37.5649741630,126.9874193795
101000040,37.5678390393,126.9828658628
101000041,37.5645069796,126.9822069938
101000042,37.5628907847,126.9815478394
101000043,37.5628850000,126.9820080000
101000334,37.5644247651,126.9823981134
101000045,37.5611273440,126.9814315438
101000046,37.5582675237,126.9777650546
101000047,37.5584920257,126.9784645011
101000048,37.5583104538,126.9827404025
101000049,37.5595260891,126.9826359346
101000050,37.5606578490,126.9849157703
101000051,37.5609325805,126.9843582953
101000052,37.5612508237,126.9917771969
101000053,37.5609019668,126.9924098253
101000054,37.5612375854,126.9947285429
101000055,37.5620371603,126.9964921507
101000056,37.5633461766,126.9931119513
101000057,37.5658757422,126.9853902774
101000058,37.5661382638,126.9811712097
101000059,37.5662462260,126.9865233528
101000060,37.5660727123,126.9886708260
101000061,37.5663729806,126.9902600103
101000062,37.5661389597,126.9914237666
101000063,37.5666841559,126.9959336364
101000064,37.5664010399,126.9968473297
101000065,37.5647173150,126.9981484996
101000066,37.5668182855,126.9992585240
101000067,37.5666200422,127.0011150411
101000068,37.5679608485,127.0024044565
101000069,37.5658243542,127.0025945654
101000070,37.5661698346,127.0062316194
101000071,37.5650528273,127.0072096931
101000072,37.5651725525,127.0077222561
101000073,37.5664631128,127.0058434821
101000074,37.5673541422,127.0083555318
101000075,37.5674835037,127.0091685169
101000077,37.5651675256,127.0135231437
101000078,37.5650178857,127.0147408667
101000079,37.5683481924,127.0157558376
101000080,37.5686950625,127.0161294881
101000081,37.5657282804,127.0187426545
101000082,37.5654920748,127.0194795301
101000083,37.5655941894,127.0221821569
101000084,37.5652410933,127.0223979004
101000085,37.5627954621,127.0150959791
101000086,37.5623100443,127.0151908517
101000087,37.5589483023,127.0132161263
101000088,37.5592573980,127.0130316796
101000089,37.5557929112,127.0110429415
101000090,37.5557496102,127.0113796895
101000091,37.5533990000,127.0120120000
101000092,37.5529237300,127.0118693353
101000093,37.5538646495,127.0099566945
101000094,37.5528509718,127.0092978444
101000095,37.5502676468,127.0077186988
101000096,37.5502271180,127.0073984027
101000294,37.5562525330,127.0097556480
101000097,37.5583362176,127.0080610837
101000098,37.5580017329,127.0078281581
101000099,37.5606213240,127.0059098100
101000100,37.5606663921,127.0056290943
101000101,37.5634011312,127.0039011095
101000102,37.5635284386,127.0033757600
101000103,37.5623804057,126.9999660413
101000104,37.5627804223,126.9997252277
101000105,37.5514818230,127.0010947080
101000106,37.5515339575,127.0007525635
101000107,37.5599600605,127.0146561080
101000108,37.5599303778,127.0142191810
101000109,37.5600244709,127.0181258220
101000110,37.5598126778,127.0182736903
101000111,37.5557370000,126.9800930000
101000113,37.5541281890,126.9738404394
101000114,37.5609394169,126.9785803860
101000115,37.5552651842,126.9839798009
101000117,37.5583620000,127.0054450000
101000295,37.5562560000,127.0093220000
101000119,37.5685707852,126.9833922386
101000120,37.5678404706,126.9885301722
101000121,37.5684843738,126.9971755363
101000122,37.5692149555,127.0008265972
101000123,37.5694411915,127.0043806283
101000124,37.5695135434,127.0138508174
101000125,37.5707259153,127.0189971981
101000128,37.5611965482,126.9755852010
101000335,37.5609880000,126.9853360000
101000130,37.5654113309,127.0091092289
101000131,37.5478041512,127.0060242348
101000132,37.5476504940,127.0061899379
101000135,37.5682134567,126.9929650755
101000136,37.5694851752,127.0090361408
101000137,37.5616905720,126.9933889105
101000141,37.5676492567,126.9825656304
101000338,37.5690110000,126.9782070000
101000147,37.5649809794,127.0248560363
101000148,37.5647227393,126.9824744450
101000149,37.5506986166,126.9988218165
101000150,37.5585545048,127.0187298806
101000151,37.5578078339,127.0192881780
101000152,37.5668556166,127.0234023516
101000153,37.5644813411,127.0239172657
101000154,37.5616452068,127.0240513307
101000155,37.5622544456,127.0243472269
101000156,37.5645028357,127.0242404150
101000163,37.5678058693,127.0019301271
101000164,37.5716601701,127.0220339686
101000165,37.5645499236,127.0086110484
101000166,37.5644016142,127.0096778870
101000168,37.5708197498,127.0232958633
101000254,37.5614081120,126.9792899798
101000258,37.5679222068,127.0144829458
101000261,37.5677007490,127.0119962039
